"","year_month","gender","age","monthly_mean_total_spend_by_agegroup"
"1",2018-01-01,"Male","18 - 24 years",178.469508196721
"2",2018-01-01,"Male","25 - 34 years",481.061885585247
"3",2018-01-01,"Male","35 - 44 years",378.483781446541
"4",2018-01-01,"Male","45 - 54 years",324.447206208426
"5",2018-01-01,"Male","55 - 64 years",263.787179023508
"6",2018-01-01,"Male","65 and older",257.187741935484
"7",2018-02-01,"Male","18 - 24 years",174.955924528302
"8",2018-02-01,"Male","25 - 34 years",245.256005625879
"9",2018-02-01,"Male","35 - 44 years",438.940118895966
"10",2018-02-01,"Male","45 - 54 years",614.138480340064
"11",2018-02-01,"Male","55 - 64 years",292.826295503212
"12",2018-02-01,"Male","65 and older",244.619870550162
"13",2018-03-01,"Male","18 - 24 years",559.617220216606
"14",2018-03-01,"Male","25 - 34 years",279.255067510549
"15",2018-03-01,"Male","35 - 44 years",469.44089581689
"16",2018-03-01,"Male","45 - 54 years",394.327924203273
"17",2018-03-01,"Male","55 - 64 years",336.626211072664
"18",2018-03-01,"Male","65 and older",149.326175548589
"19",2018-04-01,"Male","18 - 24 years",204.129535864979
"20",2018-04-01,"Male","25 - 34 years",285.580503253796
"21",2018-04-01,"Male","35 - 44 years",333.550350346021
"22",2018-04-01,"Male","45 - 54 years",315.211657638137
"23",2018-04-01,"Male","55 - 64 years",254.176735849057
"24",2018-04-01,"Male","65 and older",280.53795640327
"25",2018-05-01,"Male","18 - 24 years",240.842057971014
"26",2018-05-01,"Male","25 - 34 years",290.902587737844
"27",2018-05-01,"Male","35 - 44 years",316.83218925421
"28",2018-05-01,"Male","45 - 54 years",401.885748743719
"29",2018-05-01,"Male","55 - 64 years",526.264396396396
"30",2018-05-01,"Male","65 and older",284.64790625
"31",2018-06-01,"Male","18 - 24 years",183.500703125
"32",2018-06-01,"Male","25 - 34 years",362.697886448404
"33",2018-06-01,"Male","35 - 44 years",376.646531676022
"34",2018-06-01,"Male","45 - 54 years",360.101734104046
"35",2018-06-01,"Male","55 - 64 years",436.310118443316
"36",2018-06-01,"Male","65 and older",213.368063492063
"37",2018-07-01,"Male","18 - 24 years",333.96446300716
"38",2018-07-01,"Male","25 - 34 years",470.195298132184
"39",2018-07-01,"Male","35 - 44 years",445.64046289493
"40",2018-07-01,"Male","45 - 54 years",531.70741025641
"41",2018-07-01,"Male","55 - 64 years",439.657953216374
"42",2018-07-01,"Male","65 and older",197.096325301205
"43",2018-08-01,"Male","18 - 24 years",241.568191268191
"44",2018-08-01,"Male","25 - 34 years",365.079549356223
"45",2018-08-01,"Male","35 - 44 years",364.526904487917
"46",2018-08-01,"Male","45 - 54 years",447.485904761905
"47",2018-08-01,"Male","55 - 64 years",301.770143084261
"48",2018-08-01,"Male","65 and older",226.808110465116
"49",2018-09-01,"Male","18 - 24 years",146.547480719794
"50",2018-09-01,"Male","25 - 34 years",283.272045937899
"51",2018-09-01,"Male","35 - 44 years",359.444816223067
"52",2018-09-01,"Male","45 - 54 years",281.614895104895
"53",2018-09-01,"Male","55 - 64 years",327.806166666667
"54",2018-09-01,"Male","65 and older",204.596449275362
"55",2018-10-01,"Male","18 - 24 years",218.851456582633
"56",2018-10-01,"Male","25 - 34 years",227.151176218991
"57",2018-10-01,"Male","35 - 44 years",437.31156996587
"58",2018-10-01,"Male","45 - 54 years",477.572750455373
"59",2018-10-01,"Male","55 - 64 years",341.427277310924
"60",2018-10-01,"Male","65 and older",272.931147058824
"61",2018-11-01,"Male","18 - 24 years",334.717136842105
"62",2018-11-01,"Male","25 - 34 years",380.953680716893
"63",2018-11-01,"Male","35 - 44 years",436.59984502924
"64",2018-11-01,"Male","45 - 54 years",456.474208
"65",2018-11-01,"Male","55 - 64 years",450.443333333333
"66",2018-11-01,"Male","65 and older",399.878253275109
"67",2018-12-01,"Male","18 - 24 years",302.048120915033
"68",2018-12-01,"Male","25 - 34 years",369.367649829887
"69",2018-12-01,"Male","35 - 44 years",431.724610469403
"70",2018-12-01,"Male","45 - 54 years",508.957827890098
"71",2018-12-01,"Male","55 - 64 years",435.057236842105
"72",2018-12-01,"Male","65 and older",397.686026365348
"73",2019-01-01,"Male","18 - 24 years",228.462364341085
"74",2019-01-01,"Male","25 - 34 years",349.51227568741
"75",2019-01-01,"Male","35 - 44 years",306.340592105263
"76",2019-01-01,"Male","45 - 54 years",357.408415061296
"77",2019-01-01,"Male","55 - 64 years",390.097897435897
"78",2019-01-01,"Male","65 and older",248.287603092784
"79",2019-02-01,"Male","18 - 24 years",367.927946428571
"80",2019-02-01,"Male","25 - 34 years",331.285674204355
"81",2019-02-01,"Male","35 - 44 years",345.455012987013
"82",2019-02-01,"Male","45 - 54 years",345.344491341991
"83",2019-02-01,"Male","55 - 64 years",250.138260869565
"84",2019-02-01,"Male","65 and older",379.879169230769
"85",2019-03-01,"Male","18 - 24 years",188.537879581152
"86",2019-03-01,"Male","25 - 34 years",301.75317715959
"87",2019-03-01,"Male","35 - 44 years",399.560118606375
"88",2019-03-01,"Male","45 - 54 years",553.348343612335
"89",2019-03-01,"Male","55 - 64 years",246.380414507772
"90",2019-03-01,"Male","65 and older",216.316465517241
"91",2019-04-01,"Male","18 - 24 years",350.541214953271
"92",2019-04-01,"Male","25 - 34 years",266.189350850077
"93",2019-04-01,"Male","35 - 44 years",386.266691203533
"94",2019-04-01,"Male","45 - 54 years",405.446745027125
"95",2019-04-01,"Male","55 - 64 years",270.683456375839
"96",2019-04-01,"Male","65 and older",266.720197044335
"97",2019-05-01,"Male","18 - 24 years",215.177024128686
"98",2019-05-01,"Male","25 - 34 years",351.627855855856
"99",2019-05-01,"Male","35 - 44 years",398.297405040824
"100",2019-05-01,"Male","45 - 54 years",403.638043273754
"101",2019-05-01,"Male","55 - 64 years",290.373295819936
"102",2019-05-01,"Male","65 and older",253.481571072319
"103",2019-06-01,"Male","18 - 24 years",234.973656565657
"104",2019-06-01,"Male","25 - 34 years",282.263476174152
"105",2019-06-01,"Male","35 - 44 years",446.391161898116
"106",2019-06-01,"Male","45 - 54 years",453.003836698859
"107",2019-06-01,"Male","55 - 64 years",257.971840228245
"108",2019-06-01,"Male","65 and older",247.732666666667
"109",2019-07-01,"Male","18 - 24 years",448.905628742515
"110",2019-07-01,"Male","25 - 34 years",445.10159129937
"111",2019-07-01,"Male","35 - 44 years",452.378006584855
"112",2019-07-01,"Male","45 - 54 years",446.312014274385
"113",2019-07-01,"Male","55 - 64 years",316.330221606648
"114",2019-07-01,"Male","65 and older",327.707641921397
"115",2019-08-01,"Male","18 - 24 years",220.693575418994
"116",2019-08-01,"Male","25 - 34 years",340.490116535433
"117",2019-08-01,"Male","35 - 44 years",389.595796430932
"118",2019-08-01,"Male","45 - 54 years",328.557040205304
"119",2019-08-01,"Male","55 - 64 years",263.306346704871
"120",2019-08-01,"Male","65 and older",214.633341463415
"121",2019-09-01,"Male","18 - 24 years",265.107093690249
"122",2019-09-01,"Male","25 - 34 years",311.450612310667
"123",2019-09-01,"Male","35 - 44 years",427.587078614257
"124",2019-09-01,"Male","45 - 54 years",405.142374645222
"125",2019-09-01,"Male","55 - 64 years",331.253674963397
"126",2019-09-01,"Male","65 and older",268.03822815534
"127",2019-10-01,"Male","18 - 24 years",489.917965779468
"128",2019-10-01,"Male","25 - 34 years",363.411049596309
"129",2019-10-01,"Male","35 - 44 years",412.149273858921
"130",2019-10-01,"Male","45 - 54 years",310.785677749361
"131",2019-10-01,"Male","55 - 64 years",408.544752475248
"132",2019-10-01,"Male","65 and older",337.1489569161
"133",2019-11-01,"Male","18 - 24 years",402.274752791069
"134",2019-11-01,"Male","25 - 34 years",418.978062883027
"135",2019-11-01,"Male","35 - 44 years",517.699965296316
"136",2019-11-01,"Male","45 - 54 years",616.716899328859
"137",2019-11-01,"Male","55 - 64 years",525.788824242424
"138",2019-11-01,"Male","65 and older",361.979527410208
"139",2019-12-01,"Male","18 - 24 years",343.096556291391
"140",2019-12-01,"Male","25 - 34 years",492.013258007467
"141",2019-12-01,"Male","35 - 44 years",511.45089069629
"142",2019-12-01,"Male","45 - 54 years",492.299887955182
"143",2019-12-01,"Male","55 - 64 years",456.449319923372
"144",2019-12-01,"Male","65 and older",359.568609375
"145",2020-01-01,"Male","18 - 24 years",294.705684848485
"146",2020-01-01,"Male","25 - 34 years",381.67852734571
"147",2020-01-01,"Male","35 - 44 years",396.017380881031
"148",2020-01-01,"Male","45 - 54 years",326.465135520685
"149",2020-01-01,"Male","55 - 64 years",262.805601092896
"150",2020-01-01,"Male","65 and older",214.038279301746
"151",2020-02-01,"Male","18 - 24 years",517.761276297335
"152",2020-02-01,"Male","25 - 34 years",322.136679742225
"153",2020-02-01,"Male","35 - 44 years",378.443317336533
"154",2020-02-01,"Male","45 - 54 years",554.282523098792
"155",2020-02-01,"Male","55 - 64 years",297.944545454545
"156",2020-02-01,"Male","65 and older",255.306055684455
"157",2020-03-01,"Male","18 - 24 years",500.037053140097
"158",2020-03-01,"Male","25 - 34 years",410.956919917864
"159",2020-03-01,"Male","35 - 44 years",473.811103040086
"160",2020-03-01,"Male","45 - 54 years",470.113980986334
"161",2020-03-01,"Male","55 - 64 years",427.728310412574
"162",2020-03-01,"Male","65 and older",289.796864754098
"163",2020-04-01,"Male","18 - 24 years",387.832254160363
"164",2020-04-01,"Male","25 - 34 years",465.370698571105
"165",2020-04-01,"Male","35 - 44 years",478.081177783288
"166",2020-04-01,"Male","45 - 54 years",538.992231800766
"167",2020-04-01,"Male","55 - 64 years",355.103526315789
"168",2020-04-01,"Male","65 and older",332.479371428571
"169",2020-05-01,"Male","18 - 24 years",399.14009079118
"170",2020-05-01,"Male","25 - 34 years",441.786742470805
"171",2020-05-01,"Male","35 - 44 years",516.272728013029
"172",2020-05-01,"Male","45 - 54 years",622.518789256198
"173",2020-05-01,"Male","55 - 64 years",470.504908389585
"174",2020-05-01,"Male","65 and older",331.348454376164
"175",2020-06-01,"Male","18 - 24 years",392.563441208198
"176",2020-06-01,"Male","25 - 34 years",392.113269720102
"177",2020-06-01,"Male","35 - 44 years",552.367207890744
"178",2020-06-01,"Male","45 - 54 years",435.276297001428
"179",2020-06-01,"Male","55 - 64 years",498.714779938588
"180",2020-06-01,"Male","65 and older",305.766007462687
"181",2020-07-01,"Male","18 - 24 years",468.563259109312
"182",2020-07-01,"Male","25 - 34 years",472.875114851485
"183",2020-07-01,"Male","35 - 44 years",462.398282560706
"184",2020-07-01,"Male","45 - 54 years",432.651974769529
"185",2020-07-01,"Male","55 - 64 years",531.199159574468
"186",2020-07-01,"Male","65 and older",364.932139219015
"187",2020-08-01,"Male","18 - 24 years",292.244032921811
"188",2020-08-01,"Male","25 - 34 years",426.404997014925
"189",2020-08-01,"Male","35 - 44 years",484.909538954109
"190",2020-08-01,"Male","45 - 54 years",550.458264882326
"191",2020-08-01,"Male","55 - 64 years",414.19161007667
"192",2020-08-01,"Male","65 and older",292.715995623632
"193",2020-09-01,"Male","18 - 24 years",295.420049321825
"194",2020-09-01,"Male","25 - 34 years",383.632306084533
"195",2020-09-01,"Male","35 - 44 years",543.675484314174
"196",2020-09-01,"Male","45 - 54 years",601.052476614699
"197",2020-09-01,"Male","55 - 64 years",401.332602436323
"198",2020-09-01,"Male","65 and older",271.247394957983
"199",2020-10-01,"Male","18 - 24 years",342.474102296451
"200",2020-10-01,"Male","25 - 34 years",537.623552138774
"201",2020-10-01,"Male","35 - 44 years",603.469798237022
"202",2020-10-01,"Male","45 - 54 years",652.878681318681
"203",2020-10-01,"Male","55 - 64 years",475.743012958963
"204",2020-10-01,"Male","65 and older",305.331940789474
"205",2020-11-01,"Male","18 - 24 years",408.136587136929
"206",2020-11-01,"Male","25 - 34 years",572.093428953911
"207",2020-11-01,"Male","35 - 44 years",775.961139090755
"208",2020-11-01,"Male","45 - 54 years",486.420984075133
"209",2020-11-01,"Male","55 - 64 years",496.567018691589
"210",2020-11-01,"Male","65 and older",663.114863481229
"211",2020-12-01,"Male","18 - 24 years",394.810213464696
"212",2020-12-01,"Male","25 - 34 years",443.597572862694
"213",2020-12-01,"Male","35 - 44 years",625.619222580645
"214",2020-12-01,"Male","45 - 54 years",566.817404785979
"215",2020-12-01,"Male","55 - 64 years",468.721082024433
"216",2020-12-01,"Male","65 and older",456.847030567686
"217",2021-01-01,"Male","18 - 24 years",384.174
"218",2021-01-01,"Male","25 - 34 years",422.371096874393
"219",2021-01-01,"Male","35 - 44 years",503.261810176125
"220",2021-01-01,"Male","45 - 54 years",500.283803538175
"221",2021-01-01,"Male","55 - 64 years",446.702599243856
"222",2021-01-01,"Male","65 and older",308.025443037975
"223",2021-02-01,"Male","18 - 24 years",337.434453488372
"224",2021-02-01,"Male","25 - 34 years",419.559687767322
"225",2021-02-01,"Male","35 - 44 years",505.33239149119
"226",2021-02-01,"Male","45 - 54 years",381.513617250674
"227",2021-02-01,"Male","55 - 64 years",479.076766666667
"228",2021-02-01,"Male","65 and older",315.013040816327
"229",2021-03-01,"Male","18 - 24 years",567.83732172471
"230",2021-03-01,"Male","25 - 34 years",599.611531772575
"231",2021-03-01,"Male","35 - 44 years",778.564823031329
"232",2021-03-01,"Male","45 - 54 years",662.978148767238
"233",2021-03-01,"Male","55 - 64 years",674.193713826367
"234",2021-03-01,"Male","65 and older",330.896621359223
"235",2021-04-01,"Male","18 - 24 years",553.866505032022
"236",2021-04-01,"Male","25 - 34 years",579.899080438066
"237",2021-04-01,"Male","35 - 44 years",605.827262842145
"238",2021-04-01,"Male","45 - 54 years",459.31796819788
"239",2021-04-01,"Male","55 - 64 years",552.729744042365
"240",2021-04-01,"Male","65 and older",314.104896421846
"241",2021-05-01,"Male","18 - 24 years",471.705264623955
"242",2021-05-01,"Male","25 - 34 years",525.341262616644
"243",2021-05-01,"Male","35 - 44 years",652.783858223062
"244",2021-05-01,"Male","45 - 54 years",445.078634247284
"245",2021-05-01,"Male","55 - 64 years",341.75026744186
"246",2021-05-01,"Male","65 and older",304.53077689243
"247",2021-06-01,"Male","18 - 24 years",430.911239819004
"248",2021-06-01,"Male","25 - 34 years",660.385282605028
"249",2021-06-01,"Male","35 - 44 years",627.965273358932
"250",2021-06-01,"Male","45 - 54 years",548.073395609528
"251",2021-06-01,"Male","55 - 64 years",604.441709486166
"252",2021-06-01,"Male","65 and older",291.910497335702
"253",2021-07-01,"Male","18 - 24 years",351.55864
"254",2021-07-01,"Male","25 - 34 years",483.525934458788
"255",2021-07-01,"Male","35 - 44 years",455.332338656749
"256",2021-07-01,"Male","45 - 54 years",568.273915598291
"257",2021-07-01,"Male","55 - 64 years",365.76383030303
"258",2021-07-01,"Male","65 and older",277.137256097561
"259",2021-08-01,"Male","18 - 24 years",406.012071629213
"260",2021-08-01,"Male","25 - 34 years",712.860093761269
"261",2021-08-01,"Male","35 - 44 years",521.98340498192
"262",2021-08-01,"Male","45 - 54 years",499.019343955014
"263",2021-08-01,"Male","55 - 64 years",424.887261613692
"264",2021-08-01,"Male","65 and older",320.050113851992
"265",2021-09-01,"Male","18 - 24 years",304.570612431444
"266",2021-09-01,"Male","25 - 34 years",434.604309124014
"267",2021-09-01,"Male","35 - 44 years",518.511342000881
"268",2021-09-01,"Male","45 - 54 years",460.312086956522
"269",2021-09-01,"Male","55 - 64 years",458.705387409201
"270",2021-09-01,"Male","65 and older",253.73355704698
"271",2021-10-01,"Male","18 - 24 years",356.805048034934
"272",2021-10-01,"Male","25 - 34 years",525.647146346045
"273",2021-10-01,"Male","35 - 44 years",580.991418642682
"274",2021-10-01,"Male","45 - 54 years",491.028167351129
"275",2021-10-01,"Male","55 - 64 years",409.361729141475
"276",2021-10-01,"Male","65 and older",328.671069958848
"277",2021-11-01,"Male","18 - 24 years",563.750675784393
"278",2021-11-01,"Male","25 - 34 years",626.620871613663
"279",2021-11-01,"Male","35 - 44 years",724.198223865199
"280",2021-11-01,"Male","45 - 54 years",622.209898499559
"281",2021-11-01,"Male","55 - 64 years",522.388984547461
"282",2021-11-01,"Male","65 and older",355.655440414508
"283",2021-12-01,"Male","18 - 24 years",302.923568745304
"284",2021-12-01,"Male","25 - 34 years",463.161739498645
"285",2021-12-01,"Male","35 - 44 years",647.611503722084
"286",2021-12-01,"Male","45 - 54 years",630.545570692194
"287",2021-12-01,"Male","55 - 64 years",529.055663801337
"288",2021-12-01,"Male","65 and older",480.392467902996
"289",2022-01-01,"Male","18 - 24 years",362.623051890941
"290",2022-01-01,"Male","25 - 34 years",447.445122503603
"291",2022-01-01,"Male","35 - 44 years",432.99349537535
"292",2022-01-01,"Male","45 - 54 years",448.783754706832
"293",2022-01-01,"Male","55 - 64 years",452.817207317073
"294",2022-01-01,"Male","65 and older",319.487657992565
"295",2022-02-01,"Male","18 - 24 years",329.026629889669
"296",2022-02-01,"Male","25 - 34 years",487.607828248588
"297",2022-02-01,"Male","35 - 44 years",459.446654483431
"298",2022-02-01,"Male","45 - 54 years",494.043906735751
"299",2022-02-01,"Male","55 - 64 years",678.543878437048
"300",2022-02-01,"Male","65 and older",303.261412300683
"301",2022-03-01,"Male","18 - 24 years",607.90165273909
"302",2022-03-01,"Male","25 - 34 years",507.690328236493
"303",2022-03-01,"Male","35 - 44 years",541.800885720458
"304",2022-03-01,"Male","45 - 54 years",570.389062656642
"305",2022-03-01,"Male","55 - 64 years",521.291674641148
"306",2022-03-01,"Male","65 and older",387.174370229008
"307",2022-04-01,"Male","18 - 24 years",331.482019400353
"308",2022-04-01,"Male","25 - 34 years",456.66727755102
"309",2022-04-01,"Male","35 - 44 years",545.262369104284
"310",2022-04-01,"Male","45 - 54 years",408.340526849037
"311",2022-04-01,"Male","55 - 64 years",467.916611374408
"312",2022-04-01,"Male","65 and older",397.429494584838
"313",2022-05-01,"Male","18 - 24 years",341.816513761468
"314",2022-05-01,"Male","25 - 34 years",428.865302476655
"315",2022-05-01,"Male","35 - 44 years",535.693829284025
"316",2022-05-01,"Male","45 - 54 years",468.98093866171
"317",2022-05-01,"Male","55 - 64 years",417.963947681332
"318",2022-05-01,"Male","65 and older",395.326921875
"319",2022-06-01,"Male","18 - 24 years",324.927831207066
"320",2022-06-01,"Male","25 - 34 years",562.779794933655
"321",2022-06-01,"Male","35 - 44 years",493.414841560681
"322",2022-06-01,"Male","45 - 54 years",504.904451612903
"323",2022-06-01,"Male","55 - 64 years",534.168504027618
"324",2022-06-01,"Male","65 and older",328.586594488189
"325",2022-07-01,"Male","18 - 24 years",557.57846383296
"326",2022-07-01,"Male","25 - 34 years",652.401587698909
"327",2022-07-01,"Male","35 - 44 years",723.612172905526
"328",2022-07-01,"Male","45 - 54 years",596.876692573402
"329",2022-07-01,"Male","55 - 64 years",700.75559554413
"330",2022-07-01,"Male","65 and older",465.996181506849
"331",2022-08-01,"Male","18 - 24 years",460.343429752066
"332",2022-08-01,"Male","25 - 34 years",420.805979859013
"333",2022-08-01,"Male","35 - 44 years",526.4988599151
"334",2022-08-01,"Male","45 - 54 years",538.905670147955
"335",2022-08-01,"Male","55 - 64 years",402.636404391583
"336",2022-08-01,"Male","65 and older",385.406696914701
"337",2022-09-01,"Male","18 - 24 years",347.466440677966
"338",2022-09-01,"Male","25 - 34 years",466.180599913681
"339",2022-09-01,"Male","35 - 44 years",467.911031085814
"340",2022-09-01,"Male","45 - 54 years",424.279676258993
"341",2022-09-01,"Male","55 - 64 years",365.654438386041
"342",2022-09-01,"Male","65 and older",355.150485436893
"343",2022-10-01,"Male","18 - 24 years",415.033860182371
"344",2022-10-01,"Male","25 - 34 years",499.987779503106
"345",2022-10-01,"Male","35 - 44 years",550.990258215962
"346",2022-10-01,"Male","45 - 54 years",525.525561685055
"347",2022-10-01,"Male","55 - 64 years",391.302136363636
"348",2022-10-01,"Male","65 and older",343.1610056926
"349",2022-11-01,"Male","18 - 24 years",429.507802197802
"350",2022-11-01,"Male","25 - 34 years",591.420595706619
"351",2022-11-01,"Male","35 - 44 years",655.910944485842
"352",2022-11-01,"Male","45 - 54 years",472.91374375284
"353",2022-11-01,"Male","55 - 64 years",554.558251879699
"354",2022-11-01,"Male","65 and older",356.254584837545
"355",2022-12-01,"Male","18 - 24 years",350.310170731707
"356",2022-12-01,"Male","25 - 34 years",508.719431658055
"357",2022-12-01,"Male","35 - 44 years",530.182877358491
"358",2022-12-01,"Male","45 - 54 years",606.241471238938
"359",2022-12-01,"Male","55 - 64 years",562.316631158455
"360",2022-12-01,"Male","65 and older",274.361803278689
"361",2023-01-01,"Male","18 - 24 years",238.973893617021
"362",2023-01-01,"Male","25 - 34 years",437.459411317888
"363",2023-01-01,"Male","35 - 44 years",464.254330030159
"364",2023-01-01,"Male","45 - 54 years",378.705208970438
"365",2023-01-01,"Male","55 - 64 years",345.931592356688
"366",2023-01-01,"Male","65 and older",230.472582159624
"367",2023-02-01,"Male","18 - 24 years",194.121829268293
"368",2023-02-01,"Male","25 - 34 years",391.511386050644
"369",2023-02-01,"Male","35 - 44 years",463.411382042254
"370",2023-02-01,"Male","45 - 54 years",433.798609341826
"371",2023-02-01,"Male","55 - 64 years",410.055173410405
"372",2023-02-01,"Male","65 and older",249.084033149171
"373",2023-03-01,"Male","18 - 24 years",137.893148148148
"374",2023-03-01,"Male","25 - 34 years",238.140566037736
"375",2023-03-01,"Male","35 - 44 years",213.146457489879
"376",2023-03-01,"Male","45 - 54 years",236.677706422018
"377",2023-03-01,"Male","55 - 64 years",194.372048192771
"378",2023-03-01,"Male","65 and older",84.61075
"379",2024-08-01,"Male","18 - 24 years",1.84
